Date,Product,Quantity,Price,Customer_ID,Region,Marketing_Spend,Total_Sales
2026-03-20,Mobile,7,17225,C1079,South,2406,120575
2026-03-21,Tablet,4,22186,C1080,South,6371,88744
2026-03-22,Laptop,1,45066,C1081,South,9711,45066
2026-03-23,Mobile,6,18385,C1082,South,7000,110310
2026-03-24,Mobile,4,16596,C1083,East,8528,66384
2026-03-25,Tablet,5,20784,C1084,West,7753,103920
2026-03-26,Smartwatch,1,6356,C1085,East,3889,6356
2026-03-27,Mobile,5,18878,C1086,North,2626,94390
2026-03-28,Smartwatch,6,6779,C1087,West,7139,40674
2026-03-29,Smartwatch,2,7094,C1088,South,8311,14188
2026-03-30,Tablet,7,20681,C1089,South,2027,144767
2026-03-31,Tablet,2,22266,C1090,East,7409,44532
2026-04-01,Laptop,5,46448,C1091,East,10308,232240
2026-04-02,Headphones,7,2336,C1092,South,6844,16352
2026-04-03,Mobile,7,18222,C1093,East,4851,127554
2026-04-04,Headphones,1,3244,C1094,East,6978,3244
2026-04-05,Mobile,10,18260,C1095,East,11939,182600
2026-04-06,Headphones,8,2809,C1096,West,5501,22472
2026-04-07,Mobile,2,19198,C1097,East,6649,38396
2026-04-08,Laptop,5,44462,C1098,South,5680,222310
2026-04-09,Mobile,1,16600,C1099,West,6011,16600
2026-04-10,Smartwatch,8,5298,C1100,South,8790,42384
2026-04-11,Headphones,7,3024,C1101,South,5997,21168
2026-04-12,Laptop,7,43936,C1102,South,5585,307552
2026-04-13,Smartwatch,1,6902,C1103,South,11132,6902
2026-04-14,Laptop,3,45369,C1104,East,9612,136107
2026-04-15,Headphones,9,3509,C1105,West,8991,31581
2026-04-16,Mobile,8,18444,C1106,South,6246,147552
2026-04-17,Tablet,8,22635,C1107,East,5919,181080
2026-04-18,Headphones,5,1317,C1108,East,5841,6585
2026-04-19,Tablet,9,21809,C1109,South,3320,196281
2026-04-20,Mobile,7,17447,C1110,South,4503,122129
2026-04-21,Laptop,7,45199,C1111,West,7421,316393
2026-04-22,Headphones,4,1255,C1112,West,8883,5020
2026-04-23,Smartwatch,1,7848,C1113,West,11432,7848
2026-04-24,Headphones,6,1024,C1114,West,6892,6144
2026-04-25,Headphones,9,3204,C1115,South,11883,28836
2026-04-26,Headphones,5,1898,C1116,West,9140,9490
2026-04-27,Laptop,6,45092,C1117,South,8624,270552
2026-04-28,Headphones,10,1522,C1118,North,10751,15220
2026-04-29,Headphones,10,3424,C1119,North,2444,34240
2026-04-30,Headphones,8,1555,C1120,North,4977,12440
